Date,Close,High,Low,Open,Volume
2019-04-12,3188.63,3199.28,3168.04,3184.86,289800
2019-04-15,3177.79,3253.98,3177.27,3233.46,348800
2019-04-16,3253.6,3253.6,3153.21,3164.4,357900
2019-04-17,3263.12,3275.33,3239.8,3250.15,357500
2019-04-18,3250.2,3271.39,3241.83,3261.07,325500
2019-04-19,3270.8,3274.33,3226.81,3250.15,305700
2019-04-22,3215.04,3279.49,3206.88,3278.49,353200
2019-04-23,3198.59,3231.58,3186.76,3211.87,328400
2019-04-24,3201.61,3210.65,3156.61,3203.56,274900
2019-04-25,3123.83,3193.75,3123.03,3190.58,325900
2019-04-26,3086.4,3129.21,3085.8,3108.16,280900
2019-05-06,2906.46,2986.54,2876.47,2984.73,327000
2019-05-07,2926.39,2937.28,2889.07,2914.29,253300
2019-05-08,2893.76,2929.43,2866.7,2873.14,231500
2019-05-09,2850.95,2888.86,2845.04,2871.2,200000
2019-05-10,2939.21,2941.45,2838.39,2878.23,282300
2019-05-13,2903.71,2921.41,2892.18,2905.07,212000
2019-05-14,2883.61,2909.2,2872.83,2872.83,208300
2019-05-15,2938.68,2945.4,2902.64,2902.64,230500
2019-05-16,2955.71,2956.17,2929.06,2933.5,248400
2019-05-17,2882.3,2956.78,2873.8,2955.77,266300
2019-05-20,2870.6,2882.63,2838.45,2874.8,209500
2019-05-21,2905.97,2919.24,2862.5,2867.71,211400
2019-05-22,2891.71,2912.4,2879.64,2905.52,200000
2019-05-23,2852.51,2885.14,2846.96,2880.84,197300
